Alectoria_fallacina	8	"60267-60518, 61797-61964, 63205-63375, 64691-64813, 66757-66840, 68747-68935, 70260-70325, 73457-73921"	7	"60519-61796, 61965-63204, 63376-64690, 64814-66756, 66841-68746, 68936-70259, 70326-73456"	1	"67270-68694,"
Arthonia_susa	7	"1733-1945, 3139-3318, 5381-5758, 7059-7155, 8177-8350, 9607-9681, 11601-12092"	6	"1946-3138, 3319-5380, 5759-7058, 7156-8176, 8351-9606, 9680-11600"		
Bacidia_sp	2	"166-951, 2095-2958"	1	952-2094		
Cladonia_apodocarpa	4	"2-718, 2149-2364, 3374-3565, 4805-5266"	3	"719-2148, 2365-3373, 3566-4804"		
Cladonia_caroliniana	3	"1-955, 1962-2123, 6347-6897"	2	"956-1961, 2124-6346"		
Cladonia_furcata	5	"1-267, 1552-2058, 5171-5323, 6345-6506, 9648-9977"	4	"268-1551, 2059-5170, 5324-6344, 6507-9647"		
Cladonia_leporina	4	"50-763, 2986-3189, 4163-4447, 6042-6503"	3	"764-2985, 3190-4162, 4448-6041"		
Cladonia_petrophila	6	"1-267, 1554-2072, 3173-3340, 4350-4508, 5998-6048, 7650-8129"	5	"268-1553, 2073-3172, 3341-4349, 4509-5997, 6049-7649"		
Cladonia_peziziformis	1	61-1734	0			
Cladonia_rangiferina	4	"49916-50629, 51746-51916, 52923-53084, 57348-57815"	3	"50630-51745, 51917-52924, 53085-57347"		
Cladonia_robbinsii	2	"7-714, 3053-3925"	1	715-3052		
Cladonia_stipitata	6	"1-267, 1554-2072, 3176-3343, 4350-4508, 7647-8003, 9006-9044"	5	"268-1553, 2073-3175, 3344-4349, 4509-7646, 8004-9005"		
Cladonia_subtenuis	5	"1-784, 1906-2076, 3083-3307, 5082-5419, 5445-5480"	4	"785-1905, 2077-3082, 3308-5081, 5420-5444"		
Cladonia_uncialis	4	"26795-27296, 29805-30211, 30427-31402, 36219-37447"	3	"27297-29804, 30212-30426, 31403-36218"		
Coccocarpia_palmicola	9	"16246-16484, 17668-17719, 19152-19208, 20438-20605, 21759-21869, 23535-23630, 24771-25022, 26389-26460, 28227-28580"	8	"16485-17667, 17720-19151, 19209-20437, 20606-21758, 21870-23534, 23631-24770, 25023-26388, 26461-28226"		
Gomphillus_americanus	3	"34-807, 1923-2021, 2443-3219"	2	"808-1922, 2022-2442"		
Graphis_lineola	1	4-1590	0			
Heterodermia_albicans	4	"78-803, 3683-3820, 5041-5289, 10474-10935"	3	"804-3682, 3821-5040, 5290-10473"		
Heterodermia_appalachensis	6	"3-407, 1656-1889, 3029-3124, 4192-4536, 6042-6104, 9201-9692"	5	"408-1655, 1890-3028, 3125-4191, 4537-6041, 6105-9200"		
Heterodermia_casarettiana	5	"75-689, 1813-1926, 3637-3771, 4986-5243, 8257-8745"	4	"690-1812, 1927-3636, 3772-4985, 5244-8256"		
Heterodermia_echinata	5	"60-803, 3690-3833, 5051-5242, 6751-6816, 10756-11247"	4	"804-3689, 3834-5050, 5243-6750, 6817-10755"		
Heterodermia_speciosa1	6	"55298-55948, 57103-57207, 58276-58455, 59631-59753, 62986-63084, 67270-67749"	5	"55949-57102, 57208-58275, 58456-59630, 59754-62985, 63085-67269"		
Heterodermia_speciosa2	7	"349-981, 2127-2234, 3312-3458, 4682-4771, 8010-8108, 8591-8656, 12294-12782"	6	"982-2126, 2235-3311, 3459-4681, 4772-8009, 8109-8590, 8657-12293"		
Heterodermia_squamulosa	4	"1-978, 4187-4285, 5798-5872, 10476-10955"	3	"979-4186, 4286-5797, 5873-10475"		
Hypogymnia_vittata	1	7504-9108	0			
Icmadophila_ericetorum	1	756-2351	0			
Imshaugia_aleurites	1	34-1749	0			
Lecanora_cenereofusca	1	16544-18190	0			
Lecanora_saxigena	8	"548-766, 2072-2140, 3531-3635, 4861-5085, 6252-6443, 7665-7757, 8777-8983, 10304-10783"	7	"767-2071, 2141-3530, 3636-4860, 5086-6251, 6444-7664, 7758-8776, 8984-10303"		
Lepraria_oxybapha	1	6297-7892	0			
Leptogium_hirsutum	4	"54727-55239, 59434-59520, 60550-60867, 62736-63410"	3	"55240-59433, 59521-60549, 60868-62735"		
Menegazzia_subsimilis	6	"36609-36812, 43866-44039, 45437-45568, 46969-47034, 48353-48457, 50195-51061"	5	"36813-43865, 44040-45436, 45569-46968, 47035-48352, 48458-50194"		
Mycocalicium_subtile	1	4216-5817	0			
Opegrapha_vulgata	2	"17784-19115, 20091-20402"	1	19116-20090		
Parmotrema_austrosinense	7	"18-440, 1617-1961, 3084-3170, 3811-3891, 4951-5103, 6440-6499, 8142-8633"	6	"441-1616, 1962-3083, 3171-3810, 3892-4950, 5104-6439, 6500-8141"		
Parmotrema_cetratum	8	"72-302, 5152-5274, 6701-6970, 8224-8319, 12220-12384, 13633-13797, 15128-15187, 17458-17937"	7	"303-5151, 5275-6700, 6971-8223, 8320-12219, 12385-13632, 13798-15127, 15188-17457"		
Parmotrema_crinitum	6	"1-567, 619-829, 1907-1955, 4300-4462, 5767-5839, 6918-7444"	5	"568-618, 830-1906, 1956-4299, 4463-5766, 5840-6917"		
Parmotrema_diffractaicum	6	"230-550, 4166-4375, 5791-6027, 7045-7176, 9952-10011, 12080-12715"	5	"551-4165, 4376-5790, 6028-7044, 7177-9951, 10012-12079"		
Parmotrema_internexum	7	"1-714, 3592-3684, 4568-4624, 5876-5912, 6963-7111, 8451-8522, 10819-11283,"	6	"715-3591, 3685-4567, 4625-5875, 5913-6962, 7112-8450, 8523-10818"		
Parmotrema_margaritatum	3	"168-398, 4057-4845, 6182-6715"	2	"399-4056, 4846-6181"		
Parmotrema_mellissi	7	"269-499, 3783-4004, 5435-5734, 6776-6865, 9705-9944, 11278-11337, 12481-12953"	6	"500-3782, 4005-5434, 5735-6775, 6866-9704, 9945-11277, 11338-12480"		
Parmotrema_neotropicum	7	"61-282, 4738-5064, 6321-6413, 7554-7694, 8979-9152, 10486-10539, 11692-12269,"	6	"283-4737, 5065-6320, 6414-7553, 7695-8978, 9153-10485, 10540-11691"		
Parmotrema_stuppeum	6	"64170-64400, 67127-67564, 69072-69155, 71531-71707, 73060-73116, 78048-78515"	5	"64401-67126, 67565-69071, 69156-71530, 71708-73059, 73117-78047"		
Parmotrema_ultralucens	2	"18-248, 3888-5279"	1	249-3887		
Pertusaria_obruta	8	"269-724, 2120-2443, 3986-4087, 6417-6470, 7677-7781, 8844-8927, 11727-11810, 14047-14514"	7	"725-2119, 2444-3985, 4088-6416, 6471-7676, 7782-8843, 8928-11726, 11811-14046"		
Pertusaria_ostiolata	2	"5690-6304, 8575-9687"	1	6305-8574		
Pertusaria_plittiana	5	"6-396, 1794-2116, 4534-4794, 5876-6010, 9012-9488"	4	"397-1793, 2117-4533, 4795-5875, 6011-9011"		
Pertusaria_propinqua	6	"337-897, 2138-2278, 6596-6697, 8551-8601, 9809-10051, 13234-13668"	5	"898-2137, 2279-6595, 6698-8550, 8602-9808, 10052-13233"		
Phlyctis_boliviensis	1	58-1671	0			
Phyllopsora_corallina	3	"9591-9701, 12014-12454, 14533-15366"	2	"9702-12013, 12455-14532"		
Usnea_ceratina	9	"4349-4567, 4918-5001, 5523-5582, 6450-6827, 7595-7729, 8121-8294, 8677-8745, 9529-9714, 10034-10348"	8	"4568-4917, 5002-5522, 5583-6449, 6828-7594, 7730-8120, 8295-8676, 8746-9528, 9715-10033"		
Usnea_cornuta	8	"37139-37357, 38875-39036, 39484-39588, 39850-40065, 40985-41134, 41488-41628, 42457-42636, 43159-43467"	7	"37358-38874, 39037-39483, 39589-39849, 40066-40984, 41135-41487, 41629-42456, 42637-43158"		
Usnea_mutibilis	3	"75-395, 1673-2299, 3607-4137"	2	"396-1672, 2300-3606"		
Usnea_pensylvanica	8	"52007-52237, 52551-52724, 53051-53170, 53411-53548, 53807-53998, 54482-54616, 55698-55889, 56692-56877"	7	"52238-52550, 52725-53050, 53171-53410, 53549-53806, 53999-54481, 54617-55697, 55890-56691"		
Usnea_subfusca	5	"8317-8817, 10405-10617, 11033-11206, 11568-11798, 12188-12667,"	4	"8818-10404, 10618-11032, 11207-11567, 11797-12187"		
Usnea_subgracilis	9	"408-788, 1369-1533, 2294-2431, 2752-2871, 3066-3173, 4126-4260, 4619-4810, 5234-5473, 5869-6159"	8	"789-1368, 1534-2293, 2432-2751, 2872-3065, 3174-4125, 4261-4618, 4811-5233, 5474-5868"		
Usnea_subscabrosa	9	"1-222, 541-729, 2690-2797, 3093-3308, 4123-4269, 4578-4766, 5025-5078, 5353-5538, 5956-6246"	8	"223-540, 730-2689, 2798-3092, 3309-4122, 4270-4577, 4767-5024, 5079-5352, 5539-5955"		
